time,type,level
2024-04-19 04:30:00,Bullish BOS,2398.18
2024-04-17 08:30:00,Bearish BOS,2378.66
2024-04-17 08:15:00,Bearish BOS,2380.6
2024-04-17 19:30:00,Bearish BOS,2372.64
2024-04-19 04:15:00,Bullish BOS,2394.29
2024-04-17 19:30:00,Bearish BOS,2378.37
2024-04-19 04:15:00,Bullish BOS,2395.15
2024-04-19 04:15:00,Bullish BOS,2395.53
2024-04-22 09:30:00,Bearish BOS,2361.06
2024-04-22 14:00:00,Bearish BOS,2354.54
2024-04-18 08:00:00,Bullish BOS,2375.36
2024-04-18 13:15:00,Bullish BOS,2380.93
2024-04-19 04:15:00,Bullish BOS,2392.76
2024-04-22 06:00:00,Bearish BOS,2369.58
2024-04-19 04:15:00,Bullish BOS,2389.32
2024-04-19 03:00:00,Bearish BOS,2376.91
2024-05-17 21:30:00,Bullish BOS,2417.83
2024-04-19 14:00:00,Bearish BOS,2378.07
2024-04-22 05:45:00,Bearish BOS,2373.07
2024-05-17 16:00:00,Bullish BOS,2401.96
2024-04-22 01:00:00,Bearish BOS,2386.62
2024-04-22 08:30:00,Bearish BOS,2361.78
2024-04-22 14:00:00,Bearish BOS,2351.53
2024-04-22 19:30:00,Bearish BOS,2331.12
2024-04-23 04:30:00,Bearish BOS,2324.47
2024-04-25 17:30:00,Bullish BOS,2334.34
2024-04-23 12:15:00,Bearish BOS,2295.46
2024-04-30 21:45:00,Bearish BOS,2291.39
2024-04-25 17:30:00,Bullish BOS,2332.05
2024-04-24 12:15:00,Bearish BOS,2316.11
2024-04-24 12:15:00,Bearish BOS,2315.64
2024-04-24 18:00:00,Bullish BOS,2330.08
2024-04-25 17:30:00,Bullish BOS,2331.3
2024-04-25 06:00:00,Bearish BOS,2311.78
2024-04-24 17:45:00,Bullish BOS,2325.99
2024-04-25 17:30:00,Bullish BOS,2337.19
2024-04-24 23:00:00,Bearish BOS,2318.65
2024-04-30 17:00:00,Bearish BOS,2304.8
2024-04-25 17:30:00,Bullish BOS,2334.72
2024-04-26 10:30:00,Bullish BOS,2344.8
2024-04-26 09:00:00,Bullish BOS,2338.05
2024-05-10 04:15:00,Bullish BOS,2352.5
2024-04-29 04:00:00,Bearish BOS,2328.72
2024-04-29 12:45:00,Bullish BOS,2341.36
2024-04-29 03:30:00,Bearish BOS,2332.35
2024-04-30 10:15:00,Bearish BOS,2320.04
2024-04-29 10:45:00,Bullish BOS,2336.5
2024-04-29 20:00:00,Bullish BOS,2344.3
2024-04-30 08:15:00,Bearish BOS,2325.67
2024-05-09 23:00:00,Bullish BOS,2346.63
2024-04-30 15:15:00,Bearish BOS,2310.71
2024-04-30 21:45:00,Bearish BOS,2291.55
2024-05-01 06:45:00,Bearish BOS,2285.04
2024-05-01 21:15:00,Bullish BOS,2310.44
2024-05-02 15:45:00,Bearish BOS,2295.31
2024-05-06 16:30:00,Bullish BOS,2328.2
2024-05-02 15:45:00,Bearish BOS,2295.25
2024-05-02 20:45:00,Bullish BOS,2306.92
2024-05-06 05:00:00,Bullish BOS,2309.43
2024-05-03 09:45:00,Bearish BOS,2299.88
2024-05-06 05:00:00,Bullish BOS,2308.75
2024-05-03 14:00:00,Bearish BOS,2297.77
2024-05-03 16:30:00,Bearish BOS,2294.66
2024-05-06 10:30:00,Bullish BOS,2320.59
2024-05-06 04:15:00,Bullish BOS,2306.09
2024-06-07 22:45:00,Bearish BOS,2291.79
2024-05-06 10:15:00,Bullish BOS,2315.31
2024-05-06 15:30:00,Bullish BOS,2324.15
2024-05-07 11:00:00,Bearish BOS,2314.54
2024-05-09 17:00:00,Bullish BOS,2331.99
2024-05-07 11:00:00,Bearish BOS,2318.11
2024-05-07 03:45:00,Bullish BOS,2328.73
2024-05-09 17:00:00,Bullish BOS,2329.88
2024-05-07 09:15:00,Bearish BOS,2319.63
2024-05-07 11:00:00,Bearish BOS,2318.32
2024-05-08 04:30:00,Bearish BOS,2311.72
2024-05-09 15:30:00,Bullish BOS,2323.63
2024-05-08 04:30:00,Bearish BOS,2311.78
2024-05-09 15:30:00,Bullish BOS,2321.32
2024-06-07 21:30:00,Bearish BOS,2303.72
2024-05-08 18:45:00,Bullish BOS,2318.9
2024-06-07 18:45:00,Bearish BOS,2306.89
2024-05-09 15:30:00,Bullish BOS,2321.01
2024-06-07 18:45:00,Bearish BOS,2307.5
2024-06-07 18:45:00,Bearish BOS,2306.73
2024-05-09 17:00:00,Bullish BOS,2329.33
2024-05-09 22:30:00,Bullish BOS,2338.71
2024-05-10 03:15:00,Bullish BOS,2348.26
2024-05-10 08:30:00,Bullish BOS,2355.79
2024-05-15 18:00:00,Bullish BOS,2378.32
2024-05-13 04:15:00,Bearish BOS,2356.62
2024-05-13 07:45:00,Bearish BOS,2354.8
2024-05-13 18:00:00,Bearish BOS,2339.1
2024-05-23 22:45:00,Bearish BOS,2332.11
2024-05-14 07:30:00,Bullish BOS,2344.4
2024-05-14 16:00:00,Bullish BOS,2348.19
2024-05-14 21:00:00,Bullish BOS,2357.03
2024-05-15 06:30:00,Bullish BOS,2359.61
2024-05-15 15:30:00,Bullish BOS,2374.27
2024-05-15 18:00:00,Bullish BOS,2378.41
2024-05-23 17:15:00,Bearish BOS,2351.84
2024-05-15 20:00:00,Bullish BOS,2385.73
2024-05-16 02:15:00,Bullish BOS,2390.23
2024-05-17 16:00:00,Bullish BOS,2397.25
2024-05-16 12:15:00,Bearish BOS,2384.54
2024-05-16 15:45:00,Bearish BOS,2380.95
2024-05-23 05:30:00,Bearish BOS,2371.02
2024-05-17 14:15:00,Bullish BOS,2387.84
2024-05-20 01:15:00,Bullish BOS,2418.97
2024-05-20 01:15:00,Bullish BOS,2419.17
2024-05-20 03:45:00,Bullish BOS,2425.35
2024-05-20 08:30:00,Bullish BOS,2440.51
2024-07-16 17:45:00,Bullish BOS,2450.07
2024-07-16 17:30:00,Bullish BOS,2447.18
2024-05-22 17:00:00,Bearish BOS,2407.4
2024-07-15 18:00:00,Bullish BOS,2433.06
2024-05-22 17:00:00,Bearish BOS,2406.43
2024-05-21 14:45:00,Bullish BOS,2422.11
2024-05-22 11:15:00,Bearish BOS,2412.31
2024-07-15 18:15:00,Bullish BOS,2433.83
2024-05-22 06:30:00,Bearish BOS,2417.61
2024-05-22 05:00:00,Bullish BOS,2425.08
2024-07-15 17:45:00,Bullish BOS,2426.59
2024-05-22 11:15:00,Bearish BOS,2411.78
2024-05-22 14:30:00,Bearish BOS,2410.66
2024-07-11 18:15:00,Bullish BOS,2419.34
2024-05-22 17:00:00,Bearish BOS,2404.84
2024-05-22 21:15:00,Bearish BOS,2382.31
2024-05-23 04:15:00,Bearish BOS,2375.06
2024-05-23 08:30:00,Bearish BOS,2366.84
2024-05-23 17:00:00,Bearish BOS,2355.04
2024-05-23 20:15:00,Bearish BOS,2340.48
2024-05-24 05:15:00,Bearish BOS,2326.68
2024-05-24 08:30:00,Bullish BOS,2335.19
2024-05-30 08:45:00,Bearish BOS,2325.46
2024-05-24 12:00:00,Bullish BOS,2340.61
2024-05-27 06:15:00,Bullish BOS,2347.37
2024-05-30 04:30:00,Bearish BOS,2334.52
2024-05-27 15:15:00,Bullish BOS,2347.62
2024-05-28 16:15:00,Bullish BOS,2358.52
2024-05-29 15:45:00,Bearish BOS,2340.32
2024-06-06 04:15:00,Bullish BOS,2364.14
2024-05-29 10:30:00,Bearish BOS,2352.85
2024-06-06 04:00:00,Bullish BOS,2362.66
2024-05-29 09:00:00,Bearish BOS,2354.5
2024-06-06 04:00:00,Bullish BOS,2361.37
2024-05-29 10:45:00,Bearish BOS,2351.17
2024-05-29 15:45:00,Bearish BOS,2340.93
2024-05-30 04:30:00,Bearish BOS,2334.61
2024-05-30 03:30:00,Bearish BOS,2336.05
2024-05-30 08:30:00,Bearish BOS,2328.08
2024-05-31 22:00:00,Bearish BOS,2322.74
2024-05-30 13:45:00,Bullish BOS,2337.75
2024-05-30 13:45:00,Bullish BOS,2338.04
2024-05-31 18:45:00,Bearish BOS,2330.69
2024-05-30 15:30:00,Bullish BOS,2341.09
2024-05-31 15:30:00,Bullish BOS,2351.77
2024-05-31 06:00:00,Bearish BOS,2339.98
2024-05-31 17:30:00,Bearish BOS,2337.06
2024-06-06 04:00:00,Bullish BOS,2359.8
2024-05-31 20:15:00,Bearish BOS,2327.78
2024-06-03 08:30:00,Bearish BOS,2320.6
2024-06-03 14:00:00,Bullish BOS,2331.06
2024-06-07 16:45:00,Bearish BOS,2314.77
2024-06-03 19:30:00,Bullish BOS,2345.72
2024-06-05 18:30:00,Bullish BOS,2354.76
2024-06-04 10:30:00,Bearish BOS,2343.34
2024-06-05 18:00:00,Bullish BOS,2351.74
2024-06-04 14:15:00,Bearish BOS,2326.92
2024-06-04 16:45:00,Bearish BOS,2325.42
2024-06-05 07:45:00,Bullish BOS,2337.96
2024-06-07 16:45:00,Bearish BOS,2315.62
2024-06-05 04:45:00,Bullish BOS,2330.32
2024-06-05 07:45:00,Bullish BOS,2337.92
2024-06-05 15:15:00,Bullish BOS,2335.57
2024-06-06 04:00:00,Bullish BOS,2357.41
2024-06-06 18:30:00,Bullish BOS,2374.98
2024-06-06 12:30:00,Bearish BOS,2359.81
2024-06-07 11:00:00,Bearish BOS,2353.44
2024-06-06 18:00:00,Bullish BOS,2366.89
2024-06-07 06:30:00,Bullish BOS,2378.5
2024-06-07 11:00:00,Bearish BOS,2369.47
2024-07-05 20:00:00,Bullish BOS,2387.69
2024-06-07 15:30:00,Bearish BOS,2330.92
2024-06-07 16:45:00,Bearish BOS,2313.31
2024-06-07 18:45:00,Bearish BOS,2305.12
2024-06-07 21:30:00,Bearish BOS,2303.1
2024-06-10 14:45:00,Bullish BOS,2301.25
2024-06-10 09:15:00,Bearish BOS,2292.2
2024-06-10 13:45:00,Bullish BOS,2297.51
2024-06-10 19:00:00,Bullish BOS,2308.56
2024-06-11 15:15:00,Bullish BOS,2313.84
2024-06-13 19:00:00,Bearish BOS,2298.83
2024-06-13 19:00:00,Bearish BOS,2297.75
2024-06-11 13:15:00,Bullish BOS,2307.77
2024-06-11 15:00:00,Bullish BOS,2308.89
2024-06-12 15:30:00,Bullish BOS,2319.94
2024-06-13 18:45:00,Bearish BOS,2305.95
2024-06-20 08:00:00,Bullish BOS,2341.66
2024-06-13 04:00:00,Bearish BOS,2315.77
2024-06-13 14:30:00,Bearish BOS,2308.19
2024-06-13 15:45:00,Bullish BOS,2319.97
2024-06-13 18:45:00,Bearish BOS,2304.05
2024-06-14 13:15:00,Bullish BOS,2326.67
2024-06-26 16:30:00,Bearish BOS,2295.67
2024-06-14 12:45:00,Bullish BOS,2321.68
2024-06-20 04:30:00,Bullish BOS,2336.59
2024-06-17 05:30:00,Bearish BOS,2324.1
2024-06-20 04:30:00,Bullish BOS,2335.6
2024-06-17 05:45:00,Bearish BOS,2322.8
2024-06-17 08:30:00,Bearish BOS,2321.58
2024-06-17 18:30:00,Bearish BOS,2315.52
2024-06-18 16:45:00,Bullish BOS,2326.31
2024-06-18 18:30:00,Bullish BOS,2327.59
2024-06-18 13:30:00,Bearish BOS,2310.03
2024-06-18 01:45:00,Bullish BOS,2320.77
2024-06-18 13:15:00,Bearish BOS,2310.8
2024-06-18 18:30:00,Bullish BOS,2327.8
2024-06-19 11:00:00,Bullish BOS,2333.11
2024-06-20 04:30:00,Bullish BOS,2335.06
2024-06-19 14:00:00,Bearish BOS,2327.45
2024-06-21 19:00:00,Bearish BOS,2325.29
2024-06-21 20:00:00,Bearish BOS,2323.92
2024-06-20 07:30:00,Bullish BOS,2339.05
2024-06-20 16:45:00,Bullish BOS,2345.67
2024-06-21 17:45:00,Bearish BOS,2331.66
2024-06-21 11:15:00,Bullish BOS,2365.46
2024-07-05 15:30:00,Bullish BOS,2368.13
2024-07-05 15:30:00,Bullish BOS,2368.73
2024-06-26 04:30:00,Bearish BOS,2316.7
2024-06-24 07:00:00,Bullish BOS,2326.31
2024-06-24 10:15:00,Bullish BOS,2327.14
2024-06-24 17:30:00,Bullish BOS,2332.8
2024-06-25 18:30:00,Bearish BOS,2320.83
2024-06-24 21:30:00,Bullish BOS,2333.8
2024-06-25 13:00:00,Bullish BOS,2334.68
2024-06-25 16:30:00,Bearish BOS,2323.21
2024-06-25 16:30:00,Bearish BOS,2322.78
2024-06-25 12:15:00,Bullish BOS,2330.14
2024-07-01 14:45:00,Bullish BOS,2337.13
2024-06-25 19:15:00,Bearish BOS,2319.59
2024-06-26 04:30:00,Bearish BOS,2315.66
2024-06-26 04:30:00,Bearish BOS,2315.54
2024-06-26 13:15:00,Bearish BOS,2310.65
2024-06-27 15:30:00,Bullish BOS,2321.72
2024-06-26 13:15:00,Bearish BOS,2309.74
2024-06-26 16:00:00,Bearish BOS,2304.46
