sweep_time,choch_time,type,price
2025-06-09 22:15:00,2025-06-09 23:30:00,BSL_SWEEP,1.3564
2025-06-11 03:15:00,2025-06-11 04:45:00,BSL_SWEEP,1.35082
2025-06-12 10:00:00,2025-06-12 10:30:00,BSL_SWEEP,1.3548
2025-06-13 16:15:00,2025-06-13 17:00:00,SSL_SWEEP,1.35215
2025-06-16 22:00:00,2025-06-16 22:15:00,BSL_SWEEP,1.35908
2025-06-16 15:30:00,2025-06-16 16:00:00,SSL_SWEEP,1.35754
2025-06-16 22:15:00,2025-06-16 22:15:00,BSL_SWEEP,1.359
2025-06-19 19:45:00,2025-06-19 20:45:00,SSL_SWEEP,1.34222
2025-06-27 11:15:00,2025-06-27 13:15:00,BSL_SWEEP,1.37486
2025-06-27 15:30:00,2025-06-27 17:15:00,BSL_SWEEP,1.37489
2025-07-02 04:00:00,2025-07-02 04:45:00,BSL_SWEEP,1.37487
2025-07-10 00:30:00,2025-07-10 03:00:00,SSL_SWEEP,1.35802
2025-07-11 02:15:00,2025-07-11 03:15:00,BSL_SWEEP,1.35836
2025-07-14 03:00:00,2025-07-14 03:00:00,SSL_SWEEP,1.34953
2025-07-16 15:30:00,2025-07-16 18:00:00,SSL_SWEEP,1.33822
2025-07-22 15:30:00,2025-07-22 17:45:00,SSL_SWEEP,1.34749
2025-07-22 17:00:00,2025-07-22 17:45:00,SSL_SWEEP,1.34736
2025-07-23 02:15:00,2025-07-23 04:30:00,BSL_SWEEP,1.35326
2025-07-28 14:30:00,2025-07-28 15:45:00,SSL_SWEEP,1.34055
2025-07-30 13:30:00,2025-07-30 15:30:00,BSL_SWEEP,1.33682
2025-08-05 08:30:00,2025-08-05 10:15:00,SSL_SWEEP,1.32713
2025-08-11 13:00:00,2025-08-11 13:45:00,BSL_SWEEP,1.34519
2025-08-12 10:30:00,2025-08-12 10:45:00,SSL_SWEEP,1.34469
2025-08-12 08:45:00,2025-08-12 10:45:00,SSL_SWEEP,1.34222
2025-08-12 09:00:00,2025-08-12 10:45:00,SSL_SWEEP,1.34232
2025-08-22 22:00:00,2025-08-22 22:45:00,BSL_SWEEP,1.3524
2025-08-21 09:30:00,2025-08-21 12:00:00,SSL_SWEEP,1.34466
2025-09-01 14:45:00,2025-09-01 16:00:00,SSL_SWEEP,1.35228
2025-09-03 10:45:00,2025-09-03 11:45:00,SSL_SWEEP,1.33591
2025-09-11 15:15:00,2025-09-11 17:30:00,SSL_SWEEP,1.35202
2025-09-18 16:30:00,2025-09-18 16:30:00,BSL_SWEEP,1.35704
2025-09-17 21:30:00,2025-09-17 22:00:00,BSL_SWEEP,1.36689
2025-09-19 06:45:00,2025-09-19 09:00:00,BSL_SWEEP,1.3557
2025-09-23 09:45:00,2025-09-23 11:30:00,BSL_SWEEP,1.35166
2025-09-23 09:00:00,2025-09-23 10:45:00,SSL_SWEEP,1.3503
2025-09-23 10:00:00,2025-09-23 11:30:00,BSL_SWEEP,1.35154
2025-09-24 00:00:00,2025-09-24 02:15:00,SSL_SWEEP,1.35065
2025-09-24 02:15:00,2025-09-24 04:00:00,BSL_SWEEP,1.35264
2025-09-30 16:30:00,2025-09-30 17:45:00,SSL_SWEEP,1.342
2025-10-02 16:30:00,2025-10-02 16:45:00,BSL_SWEEP,1.34514
2025-10-01 05:30:00,2025-10-01 07:45:00,SSL_SWEEP,1.34351
2025-10-02 04:00:00,2025-10-02 04:45:00,SSL_SWEEP,1.34682
2025-10-02 13:15:00,2025-10-02 15:45:00,BSL_SWEEP,1.34883
2025-10-07 16:15:00,2025-10-07 18:30:00,SSL_SWEEP,1.34172
2025-10-08 14:30:00,2025-10-08 17:00:00,SSL_SWEEP,1.34012
2025-10-08 16:15:00,2025-10-08 18:45:00,BSL_SWEEP,1.34282
2025-10-08 23:30:00,2025-10-09 01:45:00,SSL_SWEEP,1.34006
2025-10-10 15:00:00,2025-10-10 17:30:00,SSL_SWEEP,1.32796
2025-10-13 09:45:00,2025-10-13 10:00:00,BSL_SWEEP,1.33622
2025-10-14 09:00:00,2025-10-14 10:15:00,BSL_SWEEP,1.33394
2025-10-17 13:45:00,2025-10-17 15:30:00,BSL_SWEEP,1.34388
2025-10-27 20:30:00,2025-10-27 20:45:00,SSL_SWEEP,1.33252
2025-10-29 15:45:00,2025-10-29 17:15:00,SSL_SWEEP,1.31971
2025-11-03 08:30:00,2025-11-03 11:00:00,BSL_SWEEP,1.31482
2025-11-03 15:00:00,2025-11-03 15:15:00,BSL_SWEEP,1.31384
2025-11-04 08:00:00,2025-11-04 09:15:00,SSL_SWEEP,1.31174
2025-11-06 21:30:00,2025-11-07 00:00:00,BSL_SWEEP,1.31391
2025-11-13 09:00:00,2025-11-13 09:30:00,SSL_SWEEP,1.31104
2025-11-14 09:30:00,2025-11-14 10:30:00,SSL_SWEEP,1.31358
2025-11-17 06:45:00,2025-11-17 09:15:00,SSL_SWEEP,1.31494
2025-11-17 12:00:00,2025-11-17 12:45:00,BSL_SWEEP,1.31639
2025-11-17 08:30:00,2025-11-17 09:30:00,SSL_SWEEP,1.31423
2025-11-18 06:00:00,2025-11-18 06:30:00,SSL_SWEEP,1.3145
2025-11-21 14:30:00,2025-11-21 14:30:00,SSL_SWEEP,1.30498
2025-11-21 13:00:00,2025-11-21 14:30:00,SSL_SWEEP,1.3065
2025-11-24 15:30:00,2025-11-24 16:30:00,BSL_SWEEP,1.311
2025-11-28 05:45:00,2025-11-28 08:15:00,BSL_SWEEP,1.3244
2025-12-02 19:15:00,2025-12-02 21:00:00,SSL_SWEEP,1.318
2025-12-05 07:00:00,2025-12-05 09:00:00,SSL_SWEEP,1.33362
2026-03-03 11:45:00,2026-03-03 14:15:00,SSL_SWEEP,1.32903
2025-12-16 08:15:00,2025-12-16 09:45:00,SSL_SWEEP,1.33571
2025-12-16 08:30:00,2025-12-16 09:45:00,SSL_SWEEP,1.33578
2025-12-16 07:45:00,2025-12-16 09:45:00,SSL_SWEEP,1.33621
2025-12-16 08:45:00,2025-12-16 09:45:00,SSL_SWEEP,1.3363
2025-12-26 03:30:00,2025-12-26 05:45:00,BSL_SWEEP,1.35226
2025-12-26 15:00:00,2025-12-26 15:00:00,SSL_SWEEP,1.35
2025-12-29 09:30:00,2025-12-29 12:00:00,SSL_SWEEP,1.34834
2025-12-29 11:30:00,2025-12-29 14:00:00,BSL_SWEEP,1.34979
2025-12-29 17:45:00,2025-12-29 19:45:00,BSL_SWEEP,1.35116
2026-01-09 07:00:00,2026-01-09 09:15:00,BSL_SWEEP,1.34381
2026-01-15 11:45:00,2026-01-15 14:00:00,BSL_SWEEP,1.34442
2026-01-19 01:15:00,2026-01-19 01:30:00,SSL_SWEEP,1.3376
2026-01-19 09:15:00,2026-01-19 09:30:00,BSL_SWEEP,1.34064
2026-01-21 15:30:00,2026-01-21 16:30:00,SSL_SWEEP,1.3425
2026-01-21 15:45:00,2026-01-21 16:30:00,SSL_SWEEP,1.34327
2026-03-02 01:15:00,2026-03-02 03:00:00,SSL_SWEEP,1.34084
2026-01-26 15:00:00,2026-01-26 16:15:00,SSL_SWEEP,1.36431
2026-02-04 02:45:00,2026-02-04 03:15:00,SSL_SWEEP,1.36917
2026-02-09 08:00:00,2026-02-09 09:15:00,BSL_SWEEP,1.36226
2026-02-09 10:30:00,2026-02-09 13:00:00,SSL_SWEEP,1.35879
2026-02-10 16:30:00,2026-02-10 17:00:00,BSL_SWEEP,1.36967
2026-02-11 09:15:00,2026-02-11 11:30:00,SSL_SWEEP,1.36648
2026-02-25 19:00:00,2026-02-25 19:00:00,SSL_SWEEP,1.35528
2026-03-02 03:00:00,2026-03-02 03:00:00,SSL_SWEEP,1.3434
2026-02-20 10:00:00,2026-02-20 11:30:00,SSL_SWEEP,1.34373
2026-02-24 09:00:00,2026-02-24 11:30:00,SSL_SWEEP,1.34746
2026-02-24 09:15:00,2026-02-24 11:30:00,SSL_SWEEP,1.3478
2026-02-24 15:45:00,2026-02-24 17:30:00,SSL_SWEEP,1.34782
2026-02-26 04:30:00,2026-02-26 06:00:00,BSL_SWEEP,1.35602
2026-03-02 22:00:00,2026-03-02 22:00:00,BSL_SWEEP,1.34259
